target_kind,target_id,name,roads,classes,scope,lat,lon,priority,measured_total_width_m,measured_effective_width_m,lanes_observed,obstruction_notes,measured_by,measured_date
junction,osm-junction-1665625327,Eastern Express Highway × Eastern Express Highway Flyover,Eastern Express Highway; Eastern Express Highway Flyover,trunk,bmc,19.072829,72.910193,-5.5,,,,,,
junction,osm-junction-1728805936,Eastern Express Highway × Kopri Flyover,Eastern Express Highway; Kopri Flyover,trunk,bmc,19.176419,72.96827,-5.5,,,,,,
junction,osm-junction-1861339114,Eastern Express Highway × Mulund Flyover,Eastern Express Highway; Mulund Flyover,trunk,bmc,19.168447,72.966358,-5.5,,,,,,
junction,osm-junction-1879817504,Eastern Express Highway × Jogeshwari-Vikroli Link Road × Kanjurmarg Bypass Road,Eastern Express Highway; Jogeshwari-Vikroli Link Road; Kanjurmarg Bypass Road,trunk; primary,bmc,19.124123,72.938502,-5.5,,,,,,
junction,osm-junction-1906828925,Andheri Flyover × Western Express Highway,Andheri Flyover; Western Express Highway,motorway,bmc,19.106091,72.853583,-5.5,,,,,,
junction,osm-junction-1906829046,Western Express Highway,Western Express Highway,trunk,bmc,19.127075,72.855474,-5.5,,,,,,
junction,osm-junction-1960732248,Eastern Express Highway × Kanjurmarg Flyover,Eastern Express Highway; Kanjurmarg Flyover,trunk,bmc,19.127277,72.939905,-5.5,,,,,,
junction,osm-junction-1960732258,Eastern Express Highway × Eastern Expressway,Eastern Express Highway; Eastern Expressway,trunk,bmc,19.151112,72.954541,-5.5,,,,,,
junction,osm-junction-1960732300,Eastern Express Highway × Eastern Expressway × Mulund Flyover,Eastern Express Highway; Eastern Expressway; Mulund Flyover,trunk,bmc,19.163491,72.962906,-5.5,,,,,,
junction,osm-junction-1960732352,Eastern Express Highway × Kopri Flyover,Eastern Express Highway; Kopri Flyover,trunk,bmc,19.174695,72.968487,-5.5,,,,,,
junction,osm-junction-2249201995,Western Express Highway,Western Express Highway,trunk,bmc,19.252029,72.867963,-5.5,,,,,,
junction,osm-junction-2249268387,Times of India Flyover × Times Of India Flyover × Western Express Highway,Times of India Flyover; Times Of India Flyover; Western Express Highway,trunk; secondary,bmc,19.198914,72.860924,-5.5,,,,,,
junction,osm-junction-2249326297,Aarey Flyover × Service Rd × service Rd,Aarey Flyover; Service Rd; service Rd; Western Express Highway,trunk; secondary,bmc,19.170243,72.859048,-5.5,,,,,,
junction,osm-junction-2249326319,Dindoshi flyover × Pathanwadi Flyover × Rani sati flyover,Dindoshi flyover; Pathanwadi Flyover; Rani sati flyover; Western Express Highway,trunk,bmc,19.176848,72.858848,-5.5,,,,,,
junction,osm-junction-2250795688,Bandra Worli Sea Link Flyover × Western Express Highway,Bandra Worli Sea Link Flyover; Western Express Highway,motorway,bmc,19.049804,72.833438,-5.5,,,,,,
junction,osm-junction-2250825448,Kalina-Vakola Flyover × NH48 × Western Express Highway,Kalina-Vakola Flyover; NH48; Western Express Highway,motorway; trunk,bmc,19.084168,72.846221,-5.5,,,,,,
junction,osm-junction-2250992735,Andheri Flyover × Sahar Elevated Road × Western Express Highway,Andheri Flyover; Sahar Elevated Road; Western Express Highway,motorway; primary,bmc,19.103248,72.854419,-5.5,,,,,,
junction,osm-junction-2250992777,Squatters Colony Road × Station Road × Western Express Highway,Squatters Colony Road; Station Road; Western Express Highway,trunk; secondary,bmc,19.134995,72.85517,-5.5,,,,,,
junction,osm-junction-2250992804,Aarey Flyover × Western Express Highway,Aarey Flyover; Western Express Highway,trunk,bmc,19.15973,72.857732,-5.5,,,,,,
junction,osm-junction-2250992834,Pathanwadi Flyover × Rani sati flyover × Western Express Highway,Pathanwadi Flyover; Rani sati flyover; Western Express Highway,trunk; secondary,bmc,19.181333,72.858355,-5.5,,,,,,
junction,osm-junction-2250992838,Pathanwadi Flyover × Rani sati flyover × Times of India Flyover,Pathanwadi Flyover; Rani sati flyover; Times of India Flyover; Times Of India Flyover; Western Express Highway,trunk; secondary,bmc,19.183787,72.858368,-5.5,,,,,,
junction,osm-junction-2251057088,Western Express Highway,Western Express Highway,trunk,bmc,19.224526,72.864306,-5.5,,,,,,
junction,osm-junction-2258304482,Eastern Express Highway × King's Circle Flyover × Laxmibai Kelkar Marg,Eastern Express Highway; King's Circle Flyover; Laxmibai Kelkar Marg,trunk,bmc,19.028139,72.856701,-5.5,,,,,,
junction,osm-junction-2258304504,Eastern Express Highway × Laxmibai Kelkar Marg × Sion Hospital Flyover,Eastern Express Highway; Laxmibai Kelkar Marg; Sion Hospital Flyover,trunk,bmc,19.032306,72.858687,-5.5,,,,,,
junction,osm-junction-2264152068,Eastern Express Highway × Ghatkopar Flyover,Eastern Express Highway; Ghatkopar Flyover,trunk,bmc,19.081421,72.918697,-5.5,,,,,,
junction,osm-junction-2264152105,Eastern Express Highway × Vikhroli Flyover,Eastern Express Highway; Vikhroli Flyover,trunk,bmc,19.104974,72.930706,-5.5,,,,,,
